,file_name,scores,speaker
0,file-record-test.wav,-22.86464386263186,Thanh
1,quan-sample0.wav,-17.92920404777889,Thanh
2,quan-sample1.wav,-17.543496501673186,Thanh
3,quan-sample10.wav,-25.98165730596756,Thanh
4,quan-sample11.wav,-24.887214437137697,Thanh
5,quan-sample12.wav,-24.207233390821308,Thanh
6,quan-sample13.wav,-25.135280630173725,Thanh
7,quan-sample14.wav,-19.92715916831683,Thanh
8,quan-sample2.wav,-18.76129773835928,Thanh
9,quan-sample3.wav,-24.03005185067652,Thanh
10,quan-sample4.wav,-24.658439593246282,Thanh
11,quan-sample5.wav,-25.03427249496623,Thanh
12,quan-sample6.wav,-21.612889560765147,Thanh
13,quan-sample7.wav,-23.79040243125845,Thanh
14,quan-sample8.wav,-24.539624560579703,Thanh
15,quan-sample9.wav,-25.644383565034115,Thanh
16,thanh-sample0.wav,-20.054140618565626,Thanh
17,thanh-sample1.wav,-22.50662474267439,Thanh
18,thanh-sample10.wav,-22.130781865190983,Thanh
19,thanh-sample11.wav,-26.69222167624686,Thanh
20,thanh-sample2.wav,-21.157205207547342,Thanh
21,thanh-sample3.wav,-21.261026444914847,Thanh
22,thanh-sample4.wav,-22.81930410191421,Thanh
23,thanh-sample5.wav,-21.78002656974754,Thanh
24,thanh-sample6.wav,-21.4828259449453,Thanh
25,thanh-sample7.wav,-26.143082811765577,Thanh
26,thanh-sample8.wav,-20.140605713559243,Thanh
27,thanh-sample9.wav,-23.051322478257905,Thanh
